Teams,HomeTeams,Date,Location
Charleston COFC,South Carolina SC,20201125,"Colonial Life Arena, Columbia, SC"
Central Arkansas CARK,Baylor BAY,20201125,"Ferrell Center, Waco, TX"
Louisville LOU,Middle Tennessee MTSU,20201125,"Murphy Athletic Center, Murfreesboro, TN"
CSU Fullerton CSUF,UCLA UCLA,20201125,"Pauley Pavilion presented by Wescom, Los Angeles, CA"
Stephen F. Austin SFA,Arizona State ASU,20201125,"Desert Financial Arena, Tempe, AZ"
Samford SAM,Alabama ALA,20201125,"Coleman Coliseum, Tuscaloosa, AL"
San José State SJSU,California CAL,20201125,"Haas Pavilion, Berkeley, CA"
Indiana State INST,Illinois ILL,20201125,"State Farm Center, Champaign, IL"
Toledo TOL,Wright State WRST,20201125,"Nutter Center, Dayton, OH"
Saint Peter's SPU,NJIT NJIT,20201125,"NJIT Wellness and Events Center, Newark, NJ"
SIU Edwardsville SIUE,Purdue Fort Wayne PFW,20201125,"Hilliard Gates Sports Center, Fort Wayne, IN"
Central Connecticut State CCSU,Quinnipiac QUIN,20201125,"People's United Center, Hamden, CT"
Coppin State COPP,Penn State PSU,20201125,"Bryce Jordan Center, University Park, PA"
Fairleigh Dickinson FDU,Manhattan MAN,20201125,"Draddy Gymnasium, Riverdale, NY"
Georgia State GAST,Georgia Tech GT,20201125,"McCamish Pavilion, Atlanta, GA"
Florida State FSU,Florida A&M FAMU,20201125,"Al Lawson Center, Tallahassee, FL"
North Dakota UND,Chicago State CHIC,20201125,"Jones Convocation Center, Chicago, IL"
Georgia UGA,Mercer MER,20201125,"Hawkins Arena, Macon, GA"
Eastern Washington EWU,Washington State WSU,20201125,"Friel Court at Beasley Coliseum, Pullman, WA"
Miami (OH) M-OH,Wisconsin WISC,20201125,"Kohl Center, Madison, WI"
St. Francis (BKN) SFBK,St. John's SJU,20201125,"Carnesecca Arena, Queens, NY"
Sacred Heart SHU,Fairfield FAIR,20201125,"Webster Bank Arena, Bridgeport, CT"
Elon ELON,Gardner-Webb GWEB,20201125,"Paul Porter Arena, Boiling Springs, NC"
Fordham FOR,Stony Brook STBK,20201125,"Island FCU Arena, Stony Brook, NY"
Texas A&M-International AMI,Texas A&M-CC AMCC,20201125,"American Bank Center, Corpus Christi, TX"
Grambling GRAM,Florida FLA,20201125,"Exactech Arena at Stephen C. O'Connell Center, Gainesville, FL"
Illinois State ILST,Northern Illinois NIU,20201125,"NIU Convocation Center, Dekalb, IL"
New Orleans UNO,Louisiana UL,20201125,"Cajundome, Lafayette, LA"
Liberty LIB,Ohio OHIO,20201125,"Convocation Center , Athens, OH"
Loyola Marymount LMU,USC USC,20201125,"Galen Center, Los Angeles, CA"
Chattanooga CHAT,Tennessee State TNST,20201125,"Gentry Center, Nashville, TN"
Northern Colorado UNCO,Kansas KU,20201125,"Allen Fieldhouse, Lawrence, KS"
Edward Waters EAU,UAB UAB,20201125,"Bartow Arena, Birmingham, AL"
